1000 1 200
137.5 103.125 12.5 3.125
112.5 12.5 12.5 12.5
162.5 100 12.5 3.125
62.5 25 6.25 12.5
25 156.25 12.5 6.25
56.25 50 6.25 12.5
25 150 12.5 6.25
150 50 6.25 12.5
62.5 193.75 12.5 3.125
12.5 103.125 12.5 3.125
25 162.5 12.5 12.5
131.25 12.5 6.25 12.5
50 50 3.125 12.5
143.75 50 6.25 12.5
125 181.25 12.5 3.125
175 112.5 12.5 3.125
25 112.5 12.5 3.125
96.875 62.5 3.125 12.5
37.5 181.25 12.5 3.125
50 150 12.5 3.125
178.125 75 3.125 12.5
140.625 25 3.125 12.5
143.75 25 3.125 12.5
175 75 3.125 12.5
137.5 184.375 12.5 3.125
128.125 75 3.125 12.5
143.75 75 6.25 12.5
53.125 50 3.125 12.5
150 115.625 12.5 3.125
125 106.25 12.5 3.125
187.5 162.5 12.5 12.5
37.5 196.875 12.5 3.125
162.5 103.125 12.5 3.125
62.5 153.125 12.5 3.125
62.5 87.5 6.25 12.5
68.75 25 3.125 12.5
131.25 50 6.25 12.5
50 171.875 12.5 3.125
50 103.125 12.5 3.125
87.5 50 3.125 12.5
68.75 75 6.25 12.5
12.5 100 12.5 3.125
25 128.125 12.5 3.125
168.75 25 3.125 12.5
100 106.25 12.5 3.125
53.125 75 3.125 12.5
121.875 50 3.125 12.5
37.5 31.25 12.5 3.125
162.5 196.875 12.5 3.125
187.5 103.125 12.5 3.125
118.75 50 3.125 12.5
75 109.375 12.5 3.125
175 118.75 12.5 3.125
87.5 75 3.125 12.5
125 25 12.5 12.5
25 190.625 12.5 3.125
87.5 181.25 12.5 3.125
125 50 3.125 12.5
100 115.625 12.5 3.125
0 140.625 12.5 3.125
128.125 50 3.125 12.5
143.75 0 3.125 12.5
87.5 37.5 12.5 12.5
171.875 37.5 3.125 12.5
112.5 137.5 12.5 12.5
90.625 87.5 3.125 12.5
118.75 75 6.25 12.5
50 121.875 12.5 3.125
125 118.75 12.5 3.125
184.375 75 3.125 12.5
146.875 0 3.125 12.5
125 187.5 12.5 3.125
71.875 37.5 3.125 12.5
25 0 12.5 3.125
137.5 0 3.125 12.5
162.5 184.375 12.5 3.125
50 187.5 12.5 3.125
25 6.25 12.5 3.125
75 168.75 12.5 3.125
75 9.375 12.5 3.125
187.5 184.375 12.5 3.125
125 140.625 12.5 3.125
125 137.5 12.5 3.125
90.625 62.5 3.125 12.5
103.125 50 3.125 12.5
100 50 3.125 12.5
168.75 0 3.125 12.5
125 134.375 12.5 3.125
0 146.875 12.5 3.125
140.625 0 3.125 12.5
12.5 115.625 12.5 3.125
150 190.625 12.5 3.125
50 75 3.125 12.5
112.5 162.5 12.5 3.125
156.25 87.5 6.25 12.5
137.5 146.875 12.5 3.125
131.25 87.5 6.25 12.5
112.5 87.5 3.125 12.5
115.625 87.5 3.125 12.5
50 6.25 12.5 3.125
62.5 140.625 12.5 3.125
162.5 50 12.5 12.5
37.5 3.125 12.5 3.125
125 143.75 12.5 3.125
0 0 12.5 3.125
184.375 0 3.125 12.5
187.5 100 12.5 3.125
112.5 50 6.25 12.5
159.375 50 3.125 12.5
18.75 150 6.25 12.5
156.25 50 3.125 12.5
140.625 50 3.125 12.5
37.5 50 12.5 6.25
137.5 131.25 12.5 3.125
50 131.25 12.5 6.25
137.5 50 3.125 12.5
115.625 75 3.125 12.5
181.25 87.5 3.125 12.5
112.5 75 3.125 12.5
131.25 75 6.25 12.5
37.5 9.375 12.5 3.125
62.5 181.25 12.5 3.125
187.5 156.25 12.5 3.125
187.5 181.25 12.5 3.125
0 125 12.5 3.125
187.5 0 6.25 12.5
125 75 3.125 12.5
96.875 87.5 3.125 12.5
93.75 87.5 3.125 12.5
181.25 12.5 3.125 12.5
175 196.875 12.5 3.125
100 75 6.25 12.5
25 125 12.5 3.125
0 128.125 12.5 3.125
75 125 12.5 12.5
106.25 50 3.125 12.5
187.5 153.125 12.5 3.125
12.5 143.75 12.5 3.125
0 6.25 12.5 3.125
109.375 50 3.125 12.5
50 109.375 12.5 3.125
100 165.625 12.5 3.125
100 162.5 12.5 3.125
100 150 12.5 12.5
12.5 3.125 12.5 3.125
87.5 112.5 12.5 3.125
100 184.375 12.5 3.125
56.25 75 3.125 12.5
12.5 9.375 12.5 3.125
25 56.25 12.5 3.125
25 50 12.5 6.25
193.75 0 6.25 12.5
112.5 103.125 12.5 3.125
187.5 159.375 12.5 3.125
25 131.25 12.5 3.125
150 175 12.5 6.25
193.75 75 3.125 12.5
25 59.375 12.5 3.125
12.5 162.5 6.25 12.5
87.5 12.5 12.5 12.5
62.5 125 12.5 6.25
137.5 100 12.5 3.125
196.875 75 3.125 12.5
112.5 184.375 12.5 3.125
50 0 12.5 3.125
25 134.375 12.5 3.125
0 181.25 12.5 3.125
25 109.375 12.5 3.125
100 168.75 12.5 6.25
171.875 12.5 3.125 12.5
125 128.125 12.5 3.125
0 150 12.5 12.5
87.5 115.625 12.5 3.125
50 196.875 12.5 3.125
175 0 6.25 12.5
59.375 75 3.125 12.5
12.5 187.5 12.5 3.125
25 106.25 12.5 3.125
125 100 12.5 3.125
37.5 106.25 12.5 3.125
109.375 75 3.125 12.5
125 125 12.5 3.125
0 187.5 12.5 3.125
106.25 75 3.125 12.5
50 125 12.5 6.25
137.5 125 12.5 3.125
171.875 0 3.125 12.5
0 118.75 12.5 3.125
75 115.625 12.5 3.125
75 12.5 12.5 12.5
25 143.75 12.5 6.25
12.5 150 6.25 12.5
175 12.5 6.25 12.5
37.5 109.375 12.5 3.125
56.25 87.5 3.125 12.5
50 181.25 12.5 3.125
25 137.5 12.5 6.25
181.25 0 3.125 12.5
75 112.5 12.5 3.125
175 159.375 12.5 3.125
62.5 196.875 12.5 3.125
137.5 128.125 12.5 3.125
100 103.125 12.5 3.125
0 9.375 12.5 3.125
0 162.5 12.5 12.5
93.75 75 3.125 12.5
37.5 56.25 12.5 3.125
175 153.125 12.5 3.125
12.5 181.25 12.5 3.125
0 3.125 12.5 3.125
37.5 131.25 12.5 3.125
196.875 87.5 3.125 12.5
193.75 87.5 3.125 12.5
156.25 75 6.25 12.5
62.5 137.5 12.5 3.125
175 181.25 12.5 3.125
109.375 62.5 3.125 12.5
175 100 12.5 3.125
125 87.5 3.125 12.5
87.5 125 12.5 12.5
100 87.5 6.25 12.5
25 3.125 12.5 3.125
103.125 62.5 3.125 12.5
125 103.125 12.5 3.125
112.5 62.5 6.25 12.5
159.375 62.5 3.125 12.5
50 87.5 3.125 12.5
137.5 143.75 12.5 3.125
62.5 6.25 12.5 3.125
175 184.375 12.5 3.125
168.75 37.5 3.125 12.5
0 115.625 12.5 3.125
37.5 6.25 12.5 3.125
100 137.5 12.5 12.5
184.375 87.5 3.125 12.5
150 184.375 12.5 3.125
146.875 12.5 3.125 12.5
37.5 0 12.5 3.125
53.125 87.5 3.125 12.5
175 103.125 12.5 3.125
128.125 62.5 3.125 12.5
75 181.25 12.5 3.125
121.875 62.5 3.125 12.5
125 62.5 3.125 12.5
118.75 62.5 3.125 12.5
0 100 12.5 3.125
112.5 193.75 12.5 3.125
87.5 62.5 3.125 12.5
131.25 62.5 6.25 12.5
150 100 12.5 3.125
128.125 87.5 3.125 12.5
125 184.375 12.5 3.125
143.75 87.5 6.25 12.5
96.875 50 3.125 12.5
187.5 175 12.5 6.25
131.25 0 6.25 12.5
62.5 150 12.5 3.125
150 121.875 12.5 3.125
62.5 37.5 6.25 12.5
